fuel_frac,ref_mult,core_r,keff,stdv,r_mass,c_mass,p_mass,mass
   0.50659,   0.04338,  32.24641,   1.57346,   0.00074,-154747.43019,1274723.42321,482816.25682,1602792.24984
   0.67617,   0.05415,  16.63476,   1.22644,   0.00074,-20369.97454,223894.18989,68018.03393,271542.24927
   0.86568,   0.03227,  31.51665,   1.81773,   0.00067,-150479.40099,1894355.47265,438789.74926,2182665.82092
   0.22021,   0.02261,  45.02723,   1.35239,   0.00063,-453731.68752,1832745.86703,1249669.59821,2628683.77771
   0.61610,   0.10706,  22.87365,   1.45215,   0.00068,-41110.82732,537067.19689,200135.62048,696091.99005
   0.80742,   0.06987,  36.35774,   1.86118,   0.00069,-199029.36879,2732840.51473,737194.33544,3271005.48138
   0.68326,   0.11236,  42.69663,   1.86972,   0.00063,-259241.55487,3820513.90816,1317509.99713,4878782.35043
   0.73670,   0.01519,  18.82137,   1.37947,   0.00073,-33960.95443,349582.35028,89614.36302,405235.75887
   0.20182,   0.14875,  34.00645,   1.16111,   0.00065,-101671.42649,744207.79663,722338.94817,1364875.31832
   0.83500,   0.00335,  48.48064,   1.96555,   0.00066,-602424.04853,6676188.93909,1487103.93912,7560868.82968
   0.70598,   0.06650,  24.86638,   1.58167,   0.00076,-64621.59238,776592.37673,233975.66659,945946.45094
   0.24818,   0.05826,  43.42643,   1.40730,   0.00069,-356396.38461,1787637.96003,1222074.50704,2653316.08246
   0.84671,   0.03838,  13.89796,   1.21453,   0.00060,-12621.88738,159250.38016,38189.03861,184817.53139
   0.45910,   0.13210,  33.71175,   1.57537,   0.00075,-112343.90029,1342536.07136,678099.33239,1908291.50346
   0.35528,   0.02129,  26.44395,   1.21041,   0.00063,-92316.25010,527710.16784,252312.51841,687706.43615
   0.71114,   0.14947,  13.29880,   1.08520,   0.00061,-6044.85614,119553.71339,43269.93989,156778.79714
   0.70444,   0.03773,  25.98802,   1.60362,   0.00076,-82722.95002,884798.45807,249299.07633,1051374.58438
   0.44627,   0.06196,  37.63861,   1.61512,   0.00071,-228492.26565,1825598.94380,802710.77076,2399817.44891
   0.79205,   0.04260,  47.74306,   1.95154,   0.00069,-503718.06351,6083277.30997,1564050.13959,7143609.38605
