core_r,fuel_frac,ref_mult,keff,stdv,r_mass,c_mass,p_mass,mass
  48.62069,   0.36667,   0.10809,   1.68257,   0.00061,-392505.89588,3362055.57834,1926656.92574,4896206.60820
  41.72414,   0.20000,   0.14069,   1.30427,   0.00063,-200083.91162,1366308.83572,1310534.09651,2476759.02062
  26.55172,   0.61667,   0.00566,   1.53625,   0.00068,-98264.48557,840708.48151,245708.27587,988152.27181
  33.44828,   0.95000,   0.02894,   1.88105,   0.00071,-181998.75166,2462120.51169,520269.45118,2800391.21121
  11.37931,   0.95000,   0.03825,   1.11332,   0.00073,-6931.48485,96947.30089,20955.42525,110971.24129
  18.27586,   0.86667,   0.06619,   1.47346,   0.00069,-25689.55855,369759.76509,92821.34142,436891.54796
  15.51724,   0.28333,   0.05222,   0.66317,   0.00053,-16662.39581,89784.26599,54955.59155,128077.46173
  25.17241,   0.45000,   0.12206,   1.34758,   0.00065,-50030.78101,549834.80472,275998.81437,775802.83809
  14.13793,   0.36667,   0.02428,   0.70889,   0.00046,-13966.09648,82660.68809,38842.58512,107537.17673
  11.37931,   0.36667,   0.09412,   0.56970,   0.00045,-5431.76199,43101.19600,23918.79715,61588.23117
  43.10345,   0.20000,   0.10809,   1.31282,   0.00068,-273475.81713,1506339.24998,1342385.12753,2575248.56037
  18.27586,   0.78333,   0.12672,   1.42392,   0.00066,-18570.60601,337890.07979,106741.28192,426060.75569
  19.65517,   0.28333,   0.00566,   0.82471,   0.00052,-39861.07615,182468.21268,99671.78110,242278.91763
  38.96552,   0.78333,   0.01962,   1.87135,   0.00062,-297000.87852,3274789.60204,803924.77639,3781713.49990
  50.00000,   0.36667,   0.13603,   1.70041,   0.00067,-356412.38031,3656381.87979,2231930.23381,5531899.73328
  41.72414,   0.45000,   0.03825,   1.67448,   0.00067,-341696.61259,2503917.51960,1033025.09956,3195246.00657
  27.93103,   0.61667,   0.05222,   1.58431,   0.00068,-97175.07149,978652.03586,320500.94104,1201977.90542
  50.00000,   0.20000,   0.00100,   1.36062,   0.00062,-665583.67014,2351238.62778,1621780.47843,3307435.43607
  40.34483,   0.78333,   0.02894,   1.88622,   0.00063,-319382.20018,3635010.27885,912999.67986,4228627.75854
  43.10345,   0.95000,   0.09878,   1.97390,   0.00064,-288020.42156,5268949.46682,1314009.67804,6294938.72331
