# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens,dU,dK,mass_235,m_dens,fuel_frac
   1.00000,  49.23828,   0.60718,   1.35659, 158.57422,   0.53052,   1.17654,   0.71219,1616.94727,   0.42284,   0.00000,   0.00074, 845.36023,   4.31159,   0.30130
   1.00000,  15.72266,   0.79028,   1.58950, 158.10547,   0.34663,   0.50650,   0.83844,  66.91023,  12.94848,   0.00000,  -0.00862,  22.88559,   5.47980,   0.38293
   1.00000,  44.19922,   0.69946,   1.45327, 195.95703,   0.89419,   1.45986,   0.84482,1320.07831,   0.72238,   0.00000,  -0.00104,1173.85719,   4.86638,   0.34007
   1.00000,  29.31641,   0.71313,   1.33755, 196.42578,   0.34458,   0.70096,   0.72754, 332.11081,   2.48151,   0.00000,  -0.00273, 112.92560,   4.19566,   0.29320
   1.00000,  23.88672,   0.89722,   1.41665, 175.68359,   0.80190,   1.00666,   0.89789, 200.35089,   4.10310,   0.00000,  -0.00231, 159.16989,   4.67920,   0.32699
   1.00000,  32.83203,   0.62183,   1.46011, 164.55078,   0.45669,   0.95776,   0.72804, 544.47873,   1.47998,   0.00000,  -0.00101, 245.05560,   4.89709,   0.34221
   1.00000,  26.34766,   0.84546,   1.13296, 137.59766,   0.74790,   0.67212,   0.92181, 142.22687,   2.39461,   0.00000,  -0.00443, 105.20067,   2.47517,   0.17297
   1.00000,  11.34766,   0.53296,   1.44546, 182.59766,   0.31040,   0.27936,   0.96646,  22.10693,  39.77648,   0.00000,  -0.02197,   6.77590,   4.81570,   0.33653
   1.00000,  47.91016,   0.69019,   1.25405,  92.24609,   0.85181,   1.30108,   0.83451,1240.33883,   0.26700,   0.00000,   0.00043,1048.72924,   3.59011,   0.25088
   1.00000,  15.68359,   0.52417,   1.25356,  99.04297,   0.51343,   0.43014,   0.95433,  43.29138,   8.17217,   0.00000,  -0.00816,  21.90315,   3.57203,   0.24962
   1.00000,  41.69922,   0.75562,   1.21743, 169.12109,   0.61050,   1.00842,   0.78354, 749.23201,   0.74244,   0.00000,  -0.00163, 451.06395,   3.28914,   0.22985
   1.00000,  30.56641,   0.97876,   1.25210, 114.51172,   0.62896,   0.90314,   0.83264, 321.88755,   1.27634,   0.00000,  -0.00320, 199.69936,   3.58774,   0.25072
   1.00000,  10.03906,   0.60107,   1.37783, 164.96094,   0.31416,   0.21986,   1.03324,  14.11890,  51.89818,   0.00000,  -0.02483,   4.37958,   4.44193,   0.31041
