core_r,ref_mult,fuel_frac,keff,r_mass,c_mass,p_mass,mass
  24.28571,   1.39293,   0.16071,   0.93243,971694.64819,117084.99281,1550641.54262,2639421.18362
  50.00000,   1.17879,   0.58571,   1.84765,6237272.34994,2685814.31840,10383885.35762,19306972.02596
  21.42857,   1.17879,   0.70714,   1.41840,490980.52410,248845.10361,817390.22910,1557215.85682
  41.42857,   1.28586,   0.95000,   1.91981,4155982.53048,2339148.36691,6762894.68218,13258025.57958
  15.71429,   1.28586,   0.46429,   0.95990,226807.89890,68619.39663,369077.08877,664504.38429
  41.42857,   0.96464,   0.16071,   1.26846,2499951.40347,581230.83779,4416595.40407,7497777.64533
  30.00000,   0.42929,   0.46429,   1.39206,276841.15585,477448.31875,693638.54154,1447928.01613
  32.85714,   1.07171,   0.76786,   1.73880,1495068.13755,964561.23253,2557101.75574,5016731.12582
  24.28571,   0.42929,   0.16071,   0.74909,146865.33621,117084.99281,367978.00998,631928.33900
  15.71429,   0.00100,   0.64643,   0.90734,  62.23555,90758.11110,37957.20123,128777.54789
  10.00000,   0.32221,   0.64643,   0.62106,7004.54867,23388.43474,20755.39013,51148.37354
  30.00000,   1.28586,   0.40357,   1.42291,1578111.36973,426096.47355,2568009.10783,4572216.95111
  18.57143,   0.42929,   0.40357,   0.92179,65675.43027,101083.48649,164552.88062,331311.79739
  10.00000,   0.10807,   0.40357,   0.39029,1925.37600,15781.35087,12849.65906,30556.38593
  44.28571,   1.28586,   0.10000,   1.21221,5076503.85127,544806.96431,8260828.97317,13882139.78875
  18.57143,   0.10807,   0.10000,   0.31179,12332.51323,40177.95725,82305.26959,134815.74007
  41.42857,   0.96464,   0.52500,   1.71190,2499951.40347,1392581.68551,4416595.40407,8309128.49306
  41.42857,   0.00100,   0.40357,   1.43362,1140.39184,1122132.14755,695520.15601,1818792.69540
  24.28571,   0.10807,   0.46429,   1.13350,27578.33020,253288.23541,184053.47387,464920.03949
  41.42857,   0.75050,   0.16071,   1.22810,1657220.83764,581230.83779,3199770.19824,5438221.87367
  47.14286,   0.53636,   0.46429,   1.69848,1469643.35527,1852722.53003,3283961.73528,6606327.62058
  12.85714,   0.75050,   0.52500,   0.78951,49535.17201,41624.97343,95642.75537,186802.90081
  41.42857,   0.42929,   0.88929,   1.86964,729065.78679,2203934.76707,1826708.63184,4759709.18570
  44.28571,   0.64343,   0.46429,   1.67322,1595075.07204,1535866.40044,3279993.40508,6410934.87756
  21.42857,   0.85757,   0.34286,   1.04035,284281.77152,136571.80602,522495.21848,943348.79602
  12.85714,   0.32221,   0.28214,   0.45853,14887.20867,25457.15873,44112.73854,84457.10593
  44.28571,   1.39293,   0.70714,   1.85970,5892074.53397,2196546.31467,9402640.59453,17491261.44317
  12.85714,   1.50000,   0.10000,   0.38906,166007.52991,13331.68163,260481.02868,439820.24022
  44.28571,   0.32221,   0.22143,   1.29970,608374.48605,875159.20015,1802692.85087,3286226.53707
  30.00000,   0.75050,   0.95000,   1.75784,629280.56768,888222.36529,1215018.03565,2732520.96861
  30.00000,   1.28586,   0.70714,   1.66212,1578111.36973,682831.10087,2568009.10783,4828951.57843
  18.57143,   1.39293,   0.58571,   1.22094,434523.66475,137626.48208,693417.88294,1265568.02977
  24.28571,   0.85757,   0.95000,   1.63879,413829.89138,471205.50377,760597.97416,1645633.36931
  18.57143,   0.75050,   0.58571,   1.16706,149285.14483,137626.48208,288240.49674,575152.12365
  12.85714,   1.39293,   0.70714,   0.99526,144181.82400,53750.51730,230087.02003,428019.36133
  24.28571,   1.28586,   0.10000,   0.79248,837194.36938,89847.13423,1362339.06353,2289380.56714
  47.14286,   1.50000,   0.88929,   1.94741,8183563.32527,3247481.50060,12840760.86449,24271805.69036
  44.28571,   0.42929,   0.76786,   1.84534,890548.80460,2361736.07562,2231311.93085,5483596.81107
  30.00000,   0.53636,   0.40357,   1.33909,378728.45921,426096.47355,846279.99279,1651104.92555
  38.57143,   1.17879,   0.70714,   1.79369,2863399.30740,1451265.09575,4767021.29921,9081685.70236
  41.42857,   1.17879,   0.52500,   1.72366,3548007.45437,1392581.68551,5906765.10294,10847354.24282
  38.57143,   0.96464,   0.40357,   1.56694,2017571.61147,905610.38990,3564388.28941,6487570.29078
  27.14286,   0.53636,   0.58571,   1.45048,280498.79301,429667.78373,626782.88560,1336949.46234
  41.42857,   0.21514,   0.46429,   1.57925,301610.74034,1257368.08567,1172624.58977,2731603.41578
  32.85714,   0.42929,   0.70714,   1.65997,363710.77254,897095.76039,911294.45344,2172100.98636
  30.00000,   1.28586,   0.22143,   1.18853,1578111.36973,272057.05433,2568009.10783,4418177.53189
  32.85714,   1.28586,   0.10000,   1.01192,2073304.82957,222505.67386,3373821.25732,5669631.76075
  30.00000,   0.21514,   0.70714,   1.57456,114527.75248,682831.10087,445269.48416,1242628.33751
  24.28571,   0.32221,   0.10000,   0.55797,100330.40634,89847.13423,297292.06333,487469.60390
