T3_new,T4_new,p3_new,p4_new,m_dot_new,cyc_efficiency_new,q_reactor_new,UA_new,A_panel_new
958.5499468862,1100,17906.4,17422.9272,0.4773366027,0.4646543809,86085.4898608175,22506.9642837766,90
958.5476354495,1100,17906.4,17422.9272,0.4773960942,0.4645889673,86097.6106139982,20506.9642837766,90
958.5409518885,1100,17906.4,17422.9272,0.4775663348,0.4644016464,86132.3389157873,18506.9642837766,90
958.5211454486,1100,17906.4,17422.9272,0.4780563192,0.4638614096,86232.6530590411,16506.9642837766,90
965.5936505442,1100,17906.4,17422.9272,0.5040510903,0.4628395413,86423.0395874737,23317.385706236,80
965.5720458495,1100,17906.4,17422.9272,0.5042931576,0.4625437841,86478.2997288709,21317.385706236,80
958.458713832,1100,17906.4,17422.9272,0.4794829165,0.462279496,86527.7399274049,14506.9642837766,90
965.5200289386,1100,17906.4,17422.9272,0.5048704828,0.4618379837,86610.4595334747,19317.385706236,80
950.181736711,1100,17906.4,17422.9272,0.4543974645,0.461141322,86741.3048728458,21921.6167822785,100
950.1823812282,1100,17906.4,17422.9272,0.4544114162,0.4611291248,86743.5992400266,19921.6167822785,100
950.1845656358,1100,17906.4,17422.9272,0.4544588658,0.4610876248,86751.4065546442,17921.6167822785,100
950.1919237357,1100,17906.4,17422.9272,0.454620614,0.4609459566,86778.0689438691,15921.6167822785,100
950.2161681261,1100,17906.4,17422.9272,0.4551763421,0.4604568528,86870.2458454971,13921.6167822785,100
965.3927630239,1100,17906.4,17422.9272,0.5062524331,0.4601462805,86928.8782686555,17317.385706236,80
950.2888112112,1100,17906.4,17422.9272,0.4571307184,0.4587081864,87201.4086119421,11921.6167822785,100
958.2334851837,1100,17906.4,17422.9272,0.4837084585,0.4575209795,87427.6848354015,12506.9642837766,90
965.0734173308,1100,17906.4,17422.9272,0.509554951,0.4560930707,87701.3981870828,15317.385706236,80
971.7692744425,1100,17906.4,17422.9272,0.5377153339,0.4545437652,88000.3270620576,24527.7730912856,70
971.6759956011,1100,17906.4,17422.9272,0.5385540662,0.4535092039,88201.0765302423,22527.7730912856,70
939.9660177389,1100,17906.4,17422.9272,0.4337722406,0.452583549,88381.4714199608,21474.7345742133,110
939.9667372484,1100,17906.4,17422.9272,0.4337768028,0.452580799,88382.0084432715,19474.7345742133,110
939.9694594241,1100,17906.4,17422.9272,0.4337940699,0.4525703884,88384.0415270393,17474.7345742133,110
939.9797702514,1100,17906.4,17422.9272,0.4338595718,0.4525308627,88391.7613064815,15474.7345742133,110
940.0186615782,1100,17906.4,17422.9272,0.4341080632,0.4523804316,88421.1544144993,13474.7345742133,110
950.3924195899,1100,17906.4,17422.9272,0.4644381219,0.4518000445,88534.7411649753,9921.6167822785,100
940.1638650807,1100,17906.4,17422.9272,0.4350568104,0.4517989754,88534.9506680208,11474.7345742133,110
971.4895917885,1100,17906.4,17422.9272,0.5402107638,0.4514690266,88599.6549918939,20527.7730912856,70
940.6918292187,1100,17906.4,17422.9272,0.4388525564,0.4493575283,89015.9783292537,9474.7345742133,110
971.1179225322,1100,17906.4,17422.9272,0.5434431998,0.4475021534,89385.0447295387,18527.7730912856,70
964.2519896067,1100,17906.4,17422.9272,0.517239847,0.4466257553,89560.4418778903,13317.385706236,80
957.2623808977,1100,17906.4,17422.9272,0.4960442701,0.4431406567,90264.7938059437,10506.9642837766,90
970.3864808454,1100,17906.4,17422.9272,0.5495688348,0.4400415215,90900.5128976759,16527.7730912856,70
977.307548536,1100,17906.4,17422.9272,0.5850813717,0.4364177049,91655.3099281395,26553.1356517678,60
942.0449086772,1100,17906.4,17422.9272,0.457810027,0.4343951728,92082.0545536886,7474.7345742133,110
977.0566220182,1100,17906.4,17422.9272,0.5873454211,0.4338564717,92196.3889290432,24553.1356517678,60
976.6477566326,1100,17906.4,17422.9272,0.5909977828,0.4297594959,93075.3139472068,22553.1356517678,60
968.9920760085,1100,17906.4,17422.9272,0.5605838426,0.4268488498,93709.9866083414,14527.7730912856,70
962.1926586648,1100,17906.4,17422.9272,0.5335868071,0.4265401607,93777.804961522,11317.385706236,80
975.9933434256,1100,17906.4,17422.9272,0.5967600419,0.4233849115,94476.6781189508,20553.1356517678,60
948.8104092462,1100,17906.4,17422.9272,0.4913603828,0.4226277727,94645.9333350741,7921.6167822785,100
974.9688978231,1100,17906.4,17422.9272,0.6056109172,0.4138113087,96662.4138964062,18553.1356517678,60
953.430492231,1100,17906.4,17422.9272,0.5257373266,0.4073003592,98207.6226883851,8506.9642837766,90
966.464330704,1100,17906.4,17422.9272,0.5791018929,0.4054559703,98654.3618267397,12527.7730912856,70
982.4232654475,1100,17906.4,17422.9272,0.661939797,0.402370837,99410.7830893673,30679.0938495722,50
973.4006301894,1100,17906.4,17422.9272,0.618866073,0.3999796686,100005.083102089,16553.1356517678,60
982.0352224004,1100,17906.4,17422.9272,0.6662860781,0.3984430063,100390.769497557,28679.0938495722,50
981.5086335738,1100,17906.4,17422.9272,0.6721884603,0.39320503,101728.098446945,26679.0938495722,50
957.6101330167,1100,17906.4,17422.9272,0.563538578,0.39100854,102299.555922949,9317.385706236,80
980.7998501215,1100,17906.4,17422.9272,0.6801512754,0.3863119008,103543.276594433,24679.0938495722,50
971.0385294249,1100,17906.4,17422.9272,0.6384319121,0.3806886103,105072.752165819,14553.1356517678,60
979.8514063181,1100,17906.4,17422.9272,0.6908629977,0.3773473652,106003.125219321,22679.0938495722,50
962.1009268022,1100,17906.4,17422.9272,0.608735849,0.3736372571,107055.705079823,10527.7730912856,70
978.5848562726,1100,17906.4,17422.9272,0.7053222129,0.3657915126,109351.908448829,20679.0938495722,50
934.2764551067,1100,17906.4,17422.9272,0.5234702589,0.3623138302,110401.52671348,5474.7345742133,110
967.4905615506,1100,17906.4,17422.9272,0.6675661825,0.3544221434,112859.765523399,12553.1356517678,60
938.6520657802,1100,17906.4,17422.9272,0.5499553616,0.3540995556,112962.581772201,5921.6167822785,100
976.8873830968,1100,17906.4,17422.9272,0.725104574,0.3509515957,113975.831698022,18679.0938495722,50
943.3376915582,1100,17906.4,17422.9272,0.579458722,0.3459984151,115607.46596811,6506.9642837766,90
948.5833334344,1100,17906.4,17422.9272,0.6140649206,0.3376755412,118456.90647942,7317.385706236,80
974.5854760247,1100,17906.4,17422.9272,0.7529810366,0.3318141933,120549.394225708,16679.0938495722,50
954.683727011,1100,17906.4,17422.9272,0.6568346681,0.3287876251,121659.080063446,8527.7730912856,70
962.0574405738,1100,17906.4,17422.9272,0.7131868362,0.3188160977,125464.179141467,10553.1356517678,60
971.3865710012,1100,17906.4,17422.9272,0.7946492998,0.3066698562,130433.426021409,14679.0938495722,50
966.7083640227,1100,17906.4,17422.9272,0.8655959191,0.2717501502,147194.030884502,12679.0938495722,50
953.2473550654,1100,17906.4,17422.9272,0.7952915383,0.2689186941,148743.842947687,8553.1356517678,60
941.4607280291,1100,17906.4,17422.9272,0.7464255777,0.2654604844,150681.560328216,6527.7730912856,70
930.8616471816,1100,17906.4,17422.9272,0.7097105246,0.2619093134,152724.618593962,5317.385706236,80
921.129577157,1100,17906.4,17422.9272,0.6808051046,0.2583662172,154819.002376095,4506.9642837766,90
912.0290392457,1100,17906.4,17422.9272,0.6573562052,0.2548049382,156982.828866706,3921.6167822785,100
903.3719388946,1100,17906.4,17422.9272,0.637973995,0.2511533144,159265.268303914,3474.7345742133,110
957.4601389805,1100,17906.4,17422.9272,1.1337698414,0.1941479054,206028.491152448,10679.0938495722,50
933.889236262,1100,17906.4,17422.9272,1.1472073788,0.1649431406,242507.811203624,6553.1356517678,60
909.7995197849,1100,17906.4,17422.9272,1.1720155034,0.1412630362,283159.707345149,4527.7730912856,70
885.2058091048,1100,17906.4,17422.9272,1.205389709,0.1218549329,328259.177119661,3317.385706236,80
860.1980275697,1100,17906.4,17422.9272,1.2466671303,0.1057367976,378297.819686699,2506.9642837766,90
834.9395233098,1100,17906.4,17422.9272,1.2960284523,0.0921968005,433854.53492729,1921.6167822785,100
809.6726669012,1100,17906.4,17422.9272,1.3541021244,0.0807199866,495540.220988976,1474.7345742133,110
