T3_new,T4_new,p3_new,p4_new,m_dot_new,cyc_efficiency_new,q_reactor_new,UA_new,A_panel_new,mass_total_estimated,mass_total_thermal
957.4601389805,1100,17906.4,17422.9272,1.1337698414,0.1941479054,206028.491152448,10679.0938495722,50,803.2134528391,607.7961113474
960.7008992122,1100,17906.4,17422.9272,0.9956763103,0.2261623141,176864.125941384,11079.0938495722,50,770.2481344126,602.4930967312
962.5678300797,1100,17906.4,17422.9272,0.9471810892,0.2409370164,166018.491448777,11479.0938495722,50,761.2803532273,603.8123639414
964.1255447511,1100,17906.4,17422.9272,0.9133827231,0.2526869352,158298.647143391,11879.0938495722,50,756.4073571872,606.2616146569
965.4890735144,1100,17906.4,17422.9272,0.8871150003,0.2627790715,152219.123710414,12279.0938495722,50,753.68318149,609.3038468004
966.7083640227,1100,17906.4,17422.9272,0.8655959191,0.2717501502,147194.030884502,12679.0938495722,50,752.3403098881,612.7272591008
967.812155371,1100,17906.4,17422.9272,0.8473986846,0.2798801074,142918.338731854,13079.0938495722,50,751.9791531681,616.4215822265
968.8195626282,1100,17906.4,17422.9272,0.8316765937,0.2873388951,139208.442296893,13479.0938495722,50,752.3591888383,620.3204423781
969.7444059099,1100,17906.4,17422.9272,0.8178802577,0.2942396685,135943.600677159,13879.0938495722,50,753.3222463165,624.3801913194
970.5972758711,1100,17906.4,17422.9272,0.8056294839,0.3006632172,133039.220323949,14279.0938495722,50,754.7575080538,628.5702482024
971.3865710012,1100,17906.4,17422.9272,0.7946492998,0.3066698562,130433.426021409,14679.0938495722,50,756.5839175174,632.8682449316
933.889236262,1100,17906.4,17422.9272,1.1472073788,0.1649431406,242507.811203624,6553.1356517678,60,855.6353097149,625.6174539741
940.7457468748,1100,17906.4,17422.9272,0.9588638645,0.2057306172,194429.00889726,6953.1356517678,60,797.8920786936,613.4768077034
944.7363880165,1100,17906.4,17422.9272,0.8960485896,0.2257426427,177192.92869502,7353.1356517678,60,780.5528136286,612.4859076244
948.0045867994,1100,17906.4,17422.9272,0.853521506,0.2420258585,165271.596402002,7753.1356517678,60,770.1758683248,613.416306517
950.8024790866,1100,17906.4,17422.9272,0.8212301627,0.256205038,156124.954905931,8153.1356517678,60,763.4337679649,615.3497653225
953.2473550654,1100,17906.4,17422.9272,0.7952915383,0.2689186941,148743.842947687,8553.1356517678,60,759.0045112996,617.9214689034
955.4103905428,1100,17906.4,17422.9272,0.7737274428,0.28050245,142601.250010804,8953.1356517678,60,756.1977145523,620.9409012124
957.3405876516,1100,17906.4,17422.9272,0.7553742459,0.2911624004,137380.375838007,9353.1356517678,60,754.5983693859,624.2935379074
959.0741386529,1100,17906.4,17422.9272,0.7394835046,0.3010380268,132873.578874404,9753.1356517678,60,753.9344653636,627.9043158785
960.6390029398,1100,17906.4,17422.9272,0.7255432094,0.3102303249,128936.460376158,10153.1356517678,60,754.0168401309,631.7210345017
962.0574405738,1100,17906.4,17422.9272,0.7131868362,0.3188160977,125464.179141467,10553.1356517678,60,754.7081517135,635.7057933352
909.7995197849,1100,17906.4,17422.9272,1.1720155034,0.1412630362,283159.707345149,4527.7730912856,70,941.041044118,672.4649995261
920.9785894048,1100,17906.4,17422.9272,0.9368668897,0.187594115,213226.305092747,4927.7730912856,70,854.6682871673,652.4238429924
927.6607118128,1100,17906.4,17422.9272,0.8618982659,0.2117093762,188938.254459954,5327.7730912856,70,828.0909408384,648.8836322466
933.0545257202,1100,17906.4,17422.9272,0.812408948,0.2317673587,172586.856999605,5727.7730912856,70,811.9106101653,648.2125479089
937.5835256144,1100,17906.4,17422.9272,0.7755606511,0.2494627846,160344.558247093,6127.7730912856,70,801.1131987995,649.0269163633
